Mountain,Metres,Feet,Range,Location
Mount Sidley,4285,14058,no range specified,Volcanic Seven Summits 
Missouri Mountain,4282,14049,no range specified,Sawatch Range 
Culebra Peak,4282,14049,no range specified,Colorado 
Handies Peak,4281,14045,no range specified,San Juan Mountains 
Ellingwood Point,4280,14042,no range specified,Sangre de Cristo Range 
Mount Lindsey,4280,14042,no range specified,Sangre de Cristo Range 
Little Bear Peak,4279,14039,no range specified,Sangre de Cristo Range 
Mount Sherman,4278,14035,no range specified,Mosquito Range 
Redcloud Peak,4277,14032,no range specified,San Juan Mountains 
Galeras,4276,14029,no range specified,Andes 
Mount Langley,4275,14026,no range specified,Sierra Nevada 
Finsteraarhorn,4274,14022,no range specified,Bernese Alps 
Pyramid Peak,4273,14019,no range specified,Elk Mountains 
Mount Tyndall,4273,14019,no range specified,Sierra Nevada 
Wilson Peak,4272,14016,no range specified,San Juan Mountains 
Mount Muir,4272,14016,no range specified,Sierra Nevada 
San Luis Peak,4271,14012,no range specified,San Juan Mountains 
Wetterhorn Peak,4271,14012,no range specified,San Juan Mountains 
Middle Palisade,4271,14012,no range specified,Sierra Nevada 
Huron Peak,4269,14006,no range specified,Sawatch Range 
Mount of the Holy Cross,4269,14006,no range specified,Sawatch Range 
Thunderbolt Peak,4268,14003,no range specified,Sierra Nevada 
Sunshine Peak,4268,14003,no range specified,San Juan Mountains 
Mount Strickland,4260,13976,no range specified,Saint Elias Mountains 
Pigeon Peak,4259,13973,no range specified,San Juan Mountains 
Mount Kennedy,4250,13944,no range specified,Saint Elias Mountains 
Pointe Bayeux,4258,13970,no range specified,Graian Alps  Mont Blanc massif 
Mont Blanc du Tacul,4248,13937,no range specified,Graian Alps  Mont Blanc massif 
Stecknadelhorn,4241,13914,no range specified,Pennine Alps 
Avalanche Peak,4228,13871,no range specified,Saint Elias Mountains 
Castor,4223,13855,no range specified,Pennine Alps 
Zinalrothorn,4221,13848,no range specified,Pennine Alps 
Volcán Tajumulco,4220,13845,no range specified,Guatemala
Hohberghorn,4219,13842,no range specified,Pennine Alps 
Turret Peak,4217,13835,no range specified,Needle Mountains 
Mount Darwin,4216,13832,no range specified,Sierra Nevada 
Mount Hayes,4216,13832,no range specified,Alaska 
Sacabaya,4215,13829,no range specified,Bolivia
Grandes Jorasses,4208,13806,no range specified,Mont Blanc massif 
Gannett Peak,4208,13806,no range specified,Wind River Range 
Mauna Kea,4207,13802,no range specified,Hawaii 
Alphubel,4206,13799,no range specified,Pennine Alps 
Cofre de Perote,4201,13783,no range specified,Mexico
Zard-Kuh,4200,13780,no range specified,Zagros Mountains 
Shah Alborz,4200,13780,no range specified,Alborz 
Rimpfischhorn,4199,13776,no range specified,Pennine Alps 
Grand Teton,4199,13776,no range specified,Teton Range 
Mount Cook,4196,13766,no range specified,Saint Elias Mountains 
Aletschhorn,4192,13753,no range specified,Bernese Alps 
Strahlhorn,4190,13747,no range specified,Pennine Alps 
Fremont Peak,4189,13743,no range specified,Wind River Range 
Mount Warren,4182,13720,no range specified,Wind River Range 
Mount Sidley,4181,13717,no range specified,Antarctica
Mount Abbot,4180,13714,no range specified,California 
Dent d'Hérens,4171,13684,no range specified,Pennine Alps 
Mauna Loa,4171,13684,no range specified,Hawaii 
Jbel Toubkal,4167,13671,no range specified,Atlas Mountains 
Mount Minto,4165,13665,no range specified,Antarctica
Breithorn,4164,13661,no range specified,Pennine Alps 
Jungfrau,4158,13642,no range specified,Bernese Alps 
Bishorn,4153,13625,no range specified,Pennine Alps 
Mount Helen,4151,13619,no range specified,Wind River Range 
El Mela,4150,13615,no range specified,Andes 
Mount Quincy Adams,4150,13615,no range specified,Fairweather Range 
Doublet Peak,4145,13599,no range specified,Wind River Range 
Turret Peak,4145,13599,no range specified,Wind River Range 
Mount Parnassus (Colorado),4137,13573,no range specified,Front Range  Rocky Mountains  Colorado  US
Uludoruk (Reşko / Gelyaşin),4137,13573,no range specified,Cilo Daglari Hakkari 
Mount Sacagawea,4136,13570,no range specified,Wind River Range 
Mount Dubois,4135,13566,no range specified,White Mountains 
Mount Muhabura,4127,13540,no range specified,Virunga Mountains  Musanze  Rwanda
Kings Peak,4125,13533,no range specified,Uinta Range 
Aiguille Verte,4122,13524,no range specified,Mont Blanc massif 
Mount Bangeta,4121,13520,no range specified,Papua New Guinea
Mount Dickerson,4120,13517,no range specified,Queen Alexandra Range 
Monte Tlaloc,4120,13517,no range specified,Mexican Volcanic Belt 
Jackson Peak,4120,13517,no range specified,Wind River Range 
Cilo Dağı,4116,13504,no range specified,Cilo Range 
Mount Woodrow Wilson,4115,13501,no range specified,Wind River Range 
Aiguilles du Diable,4114,13497,no range specified,Graian Alps  Mont Blanc massif 
Bastion Peak,4113,13494,no range specified,Wind River Range 
Aiguille Blanche de Peuterey,4112,13491,no range specified,Mont Blanc massif 
Mönch,4107,13474,no range specified,Bernese Alps 
Mount Febbas,4105,13468,no range specified,Wind River Range 
Barre des Écrins,4102,13458,no range specified,Dauphiné Alps  France
Mount Aragats,4095,13435,no range specified,Armenia
Mount Cameroon,4095,13435,no range specified,Cameroon
Mount Kinabalu,4095,13435,no range specified,Sabah 
Grizzly Peak D,4093,13428,no range specified,Front Range 
Pollux,4092,13425,no range specified,Pennine Alps 
Mount Wade,4085,13402,no range specified,Prince Olav Mountains 
Nairamdal Peak,4082,13392,no range specified,Altai Mountains 
Mount Victoria,4072,13360,no range specified,Papua New Guinea
Centennial Peak,4070,13353,no range specified,Prince Olav Mountains 
Gran Paradiso,4061,13323,no range specified,Graian Alps 
Ober Gabelhorn,4053,13297,no range specified,Pennine Alps 
Piz Bernina,4049,13284,no range specified,Bernina Alps 
Fiescherhorn,4049,13284,no range specified,Bernese Alps 
Grünhorn,4043,13264,no range specified,Bernese Alps 
Lauteraarhorn,4042,13261,no range specified,Bernese Alps 
Aiguille du Géant,4035,13238,no range specified,Graian Alps  Mont Blanc massif 
Mount Silverthrone,4030,13222,no range specified,Alaska Range  Alaska  US
Mount Sniktau,4034,13235,no range specified,Front Range  Rocky Mountains  Colorado  US
Azufral,4030,13222,no range specified,Colombia
Allalinhorn,4027,13212,no range specified,Pennine Alps 
Wind River Peak,4021,13192,no range specified,Wind River Range 
Latsga,4019,13186,no range specified,Caucasus Mountains 
Weissmies,4017,13179,no range specified,Pennine Alps 
Mount Waddington,4016,13176,no range specified,British Columbia  Canada
Mount Marcus Baker,4016,13176,no range specified,Chugach Range  Alaska  US
Dôme de neige des Écrins,4015,13173,no range specified,Dauphiné Alps  France
Conejos Peak,4015,13173,no range specified,San Juan Mountains  Colorado  US
Dent du Géant,4013,13166,no range specified,Mont Blanc massif  France
Red Slate Mountain,4013,13166,no range specified,Sierra Nevada  California  US
Cloud Peak,4013,13166,no range specified,Big Horn Mountains  Wyoming  US
Wheeler Peak,4012,13163,no range specified,Sangre de Cristo Mountains  New Mexico  US
Lagginhorn,4010,13156,no range specified,Pennine Alps  Switzerland
Twilight Peak,4010,13156,no range specified,San Juan Mountains  Colorado  US
Francs Peak,4009,13153,no range specified,Absaroka Range  Wyoming  US
Mount Lahili,4009,13153,no range specified,Svaneti Range  Svaneti  Georgia
Mount Walter,4005,13140,no range specified,New Mexico  US
Les Droites,4000,13123,no range specified,Mont Blanc massif  France
Piz Zupò,3995,13107,no range specified,Bernina Range  Switzerland
Truchas Peak,3994,13104,no range specified,Sangre de Cristo Mountains 
Fletschhorn,3993,13100,no range specified,Pennine Alps  Switzerland
Mount Albert Edward,3990,13091,no range specified,Papua New Guinea
La Meije,3987,13081,no range specified,Dauphiné Alps  France
Wheeler Peak,3982,13064,no range specified,Snake Range 
Mount Dana,3981,13061,no range specified,California
Acatenango,3976,13045,no range specified,Guatemala
Piz Roseg,3973,13035,no range specified,Bernina Range  Switzerland
Piz Scerscen,3971,13028,no range specified,Bernina Range  Switzerland
Eiger,3967,13015,no range specified,Bernese Oberland  Switzerland
Mount Tochal,3964,13005,no range specified,Alborz 
Black Tooth Mountain,3964,13005,no range specified,Bighorn Mountains 
Grand Cornier,3962,12999,no range specified,Pennine Alps  Switzerland
Mount Owen,3957,12982,no range specified,Teton Range 
Ailefroide,3954,12972,no range specified,Dauphiné Alps  France
Mount Robson,3954,12972,no range specified,Highest point in the
Descabezado Grande,3953,12969,no range specified,Chile
Yu Shan (Mount Jade),3952,12966,no range specified,Highest point in
Mont Pelvoux,3946,12946,no range specified,Dauphiné Alps  France
Mount Julian,3940,12927,no range specified,Colorado  United States
Mount Khalatsa,3938,12920,no range specified,Disputed 
Ajusco,3930,12894,no range specified,Mexico
Mount Erciyes,3916,12848,no range specified,Central Anatolia 
Bomber Mountain,3914,12841,no range specified,Bighorn Range 
Pic Sans Nom,3919,12858,no range specified,Dauphiné Alps  France
Jicarita Peak,3912,12835,no range specified,Sangre de Cristo Mountains 
Ortler,3905,12812,no range specified,Italy South Tyrol
Piz Palü,3905,12812,no range specified,Bernina Range  Switzerland
Middle Teton,3903,12805,no range specified,Teton Range  Wyoming
Aiguille d'Argentière,3902,12802,no range specified,Mont Blanc massif  France
Granite Peak,3901,12799,no range specified,Montana  US
Mount Gibbs,3893,12772,no range specified,Sierra Nevada  California  US
Mount Crillon,3879,12726,no range specified,Fairweather Range  Alaska  US
Mont Blanc de Cheilon,3870,12697,no range specified,Pennine Alps  Switzerland
Aiguille du Goûter,3863,12674,no range specified,Graian Alps  Mont Blanc massif 
Borah Peak,3861,12667,no range specified,Idaho  US
Grande Casse,3855,12648,no range specified,Vanoise Massif  France
Humphreys Peak,3852,12638,no range specified,Arizona  US
Santa Fe Baldy,3847,12621,no range specified,Sangre de Cristo Mountains  New Mexico
Mount Baldwin,3845,12615,no range specified,Sierra Nevada  California  US
Aiguille du Midi,3842,12605,no range specified,Graian Alps  Mont Blanc Massif  France
Mount Moran,3842,12605,no range specified,Wyoming  US
Monte Viso,3841,12602,no range specified,Italian Alps
Sauyr Zhotasy,3840,12598,no range specified,Kazakhstan
Mount Saramati,3826,12552,no range specified,Patkai Range  Nagaland  India
Nesthorn,3822,12539,no range specified,Bernese Alps  Switzerland
Cerro Chirripó,3820,12533,no range specified,Highest in Costa Rica
Aiguille des Glaciers,3816,12520,no range specified,Mont Blanc massif  France
South Teton,3814,12513,no range specified,Teton Range  Wyoming
La Râteau,3809,12497,no range specified,Dauphiné Alps  France
Mount Kerinci,3800,12467,no range specified,Highest volcano in Indonesia
Grossglockner,3798,12461,no range specified,Austria
Pigne d'Arolla,3796,12454,no range specified,Pennine Alps  Switzerland
Mount Erebus,3794,12448,no range specified,Antarctica
Mont Pourri,3779,12398,no range specified,Vanoise Massif  France
Mount Fuji,3776,12388,no range specified,Japan
Wildspitze,3774,12382,no range specified,Austria
Greenhorn Mountain,3763,12346,no range specified,Wet Mountains  Colorado  US
Volcán de Fuego,3763,12346,no range specified,Guatemala
Mount Villard,3760,12336,no range specified,Montana  US
Teewinot Mountain,3757,12326,no range specified,Teton Range  Wyoming  US
Aiguille du Dru,3754,12316,no range specified,Graian Alps  France
Aoraki / Mount Cook,3754,12316,no range specified,New Zealand
Pointe de Charbonnel,3752,12310,no range specified,Graian Alps  France
Piz Morteratsch,3751,12306,no range specified,Bernina Range  Switzerland
Sawtooth Mountain,3750,12303,no range specified,Front Range  Colorado  US
Mount Davis,3750,12303,no range specified,California  US
Mount Morrison,3750,12303,no range specified,California  US
Mount Taibai,3750,12303,no range specified,Qin Mountains  China
Aiguille de la Grande Sassière,3747,12293,no range specified,Graian Alps  France
Lanín,3747,12293,no range specified,Andes  Chile
Mount Adams,3743,12280,no range specified,Cascade Range  Washington  US
Mount Columbia,3747,12293,no range specified,Canadian Rockies
Mount Adams,3743,12280,no range specified,Washington  US
Teepe Pillar,3739,12267,no range specified,Teton Range  Wyoming  US
Weißkugel,3739,12267,no range specified,Alps  Austria
Minarets,3735,12254,no range specified,Sierra Nevada  California
Mount Huntington,3731,12241,no range specified,Alaska Range  Alaska  US
Bedori Peak,3727,12228,no range specified,Forward Kahuta  Azad Kashmir  Pakistan
Mount Rinjani,3726,12224,no range specified,Indonesia
Cerro del Potosí,3721,12208,no range specified,Mexico
Diamond Peak,3719,12201,no range specified,Idaho  US
Teide,3718,12198,no range specified,Canary Islands
Asperity Mountain,3716,12192,no range specified,Waddington Range
Cerro de la Viga,3712,12178,no range specified,Mexico
Delano Peak,3711,12175,no range specified,Utah  US - Highest peak in the Tushar Mountains
Sahand,3707,12162,no range specified,East Azerbaijan  Iran
Monte San Lorenzo,3706,12159,no range specified,Patagonia  Argentina-Chile
Wetterhorn,3701,12142,no range specified,Bernese Alps  Switzerland
Mount Valhalla,3699,12136,no range specified,Alaska  US
Dent Parrachée,3697,12129,no range specified,Vanoise massif  France
Gunnbjørn,3694,12119,no range specified,highest in Greenland
North Twin Peak,3684,12087,no range specified,Canadian Rockies
Monte Disgrazia,3678,12067,no range specified,Bregaglia  Switzerland
Semeru,3676,12060,no range specified,Java  Indonesia
Les Bans,3669,12037,no range specified,Ecrins  France
Cloudveil Dome,3666,12028,no range specified,Teton Range  Wyoming  US
Thor Peak,3666,12028,no range specified,Teton Range  Wyoming  United States
Medicine Bow Peak,3661,12011,no range specified,Wyoming  US
Hyndman Peak,3660,12008,no range specified,Idaho  US
Mount Clemenceau,3658,12001,no range specified,Canadian Rockies
Mount Frakes,3654,11988,no range specified,Crary Mountains  Antarctica
Grande Motte,3653,11985,no range specified,Vanoise Massif  France
Sierra Blanca,3652,11982,no range specified,Sacramento Mountains 
Pointe de la Fournache,3642,11949,no range specified,Vanoise massif  France
Buck Mountain,3639,11939,no range specified,Teton Range  Wyoming
Mount Nebo,3636,11929,no range specified,Utah  US
Mount Charleston,3632,11916,no range specified,Nevada  US
Hintere Schwärze,3628,11903,no range specified,Ötztal Alps  Austria
Nez Perce Peak,3627,11900,no range specified,Teton Range  Wyoming  US
Mount Alberta,3619,11873,no range specified,Canadian Rockies
Mount Assiniboine,3618,11870,no range specified,Canadian Rockies
Tödi,3614,11857,no range specified,Swiss Alps
Mount Forbes,3612,11850,no range specified,Canadian Rockies
Lautaro,3607,11834,no range specified,Patagonia  Chile
Dôme de la Sache,3601,11814,no range specified,Vanoise massif  France
Castle Peak,3601,11814,no range specified,Idaho  US
Dôme de l'Arpont,3601,11814,no range specified,Vanoise massif  France
Dôme de Chasseforêt,3586,11765,no range specified,Vanoise massif  France
Makra Peak,3586,11765,no range specified,Pakistan
Sierra Velluda,3585,11762,no range specified,Chile
Grand Roc Noir,3582,11752,no range specified,Vanoise massif  France
Mount Timpanogos,3582,11752,no range specified,Utah  United States
Mount Alvand,3580,11745,no range specified,Hamedan  Iran
Dôme des Nants,3570,11713,no range specified,Vanoise massif  France
Ryan Peak,3570,11713,no range specified,Idaho  US
South Twin Peak,3566,11699,no range specified,Canadian Rockies
Olan,3564,11693,no range specified,Ecrins  France
Aiguille de Péclet,3561,11683,no range specified,Vanoise massif  France
Presanella,3558,11673,no range specified,Adamello-Presanella  Italy
Mount Steere,3558,11673,no range specified,Antarctica
Monarch Mountain,3555,11663,no range specified,Pacific Ranges  British Columbia  Canada
Monte Leone,3552,11654,no range specified,Lepontine Alps  Switzerland
Mont Turia,3550,11647,no range specified,Vanoise massif  France
Mount Temple,3543,11624,no range specified,Canadian Rockies
Disappointment Peak,3541,11617,no range specified,Teton Range  Wyoming
Mount Woodring,3533,11591,no range specified,Teton Range  Wyoming
Aiguille de Polset,3531,11585,no range specified,Vanoise Massif  France
Snow Dome,3520,11549,no range specified,Canadian Rockies
Aiguilles d'Arves,3515,11532,no range specified,Arve Massif  France
Mount Ellen (Utah),3513,11526,no range specified,Henry Mountains  Utah  US
Mont de Gébroulaz,3511,11519,no range specified,Vanoise massif  France
Mount San Gorgonio,3505,11499,no range specified,California  US
Mount Kitchener,3505,11499,no range specified,Canadian Rockies
Zuckerhütl,3505,11499,no range specified,Stubai Alps  Austria
Mount Wister,3502,11490,no range specified,Teton Range  Wyoming
Mount Saskatchewan,3500,11483,no range specified,Yukon  Canada
Mount Tasman,3497,11473,no range specified,Southern Alps  New Zealand
Mount Hungabee,3492,11457,no range specified,Canadian Rockies
Mount Athabasca,3491,11453,no range specified,Canadian Rockies
Tronador,3491,11453,no range specified,Chile
Mount Saint John,3484,11430,no range specified,Teton Range  Wyoming
Thabana Ntlenyana,3482,11424,no range specified,Drakensberg  Africa
Pointes du Châtelard,3479,11414,no range specified,Vanoise massif  France
Mulhacén,3479,11414,no range specified,Spain
Mount Berlin,3478,11411,no range specified,Flood Range  Antarctica
Mount Pennell,3478,11411,no range specified,Henry Mountains  Utah  US.
Volcán Barú,3475,11401,no range specified,Chiriquí  Panama
Koh-i-Takatu Sraghurgai,3472,11391,no range specified,Quetta Sraghurgai  Suleman Range  Pakistan
Roc des Saints Pères,3470,11385,no range specified,Vanoise massif  France
Mount Brazeau,3470,11385,no range specified,Canadian Rockies
Mount Nyiragongo,3470,11385,no range specified,Virunga Mountains  DRC
Ruby Dome,3470,11385,no range specified,Ruby Mountains  Nevada
Roche de la Muzelle,3465,11368,no range specified,Dauphine Alps  France
Mount Victoria,3464,11365,no range specified,Canadian Rockies
Abajo Peak,3463,11362,no range specified,Abajo Mountains  Utah
Eagle Peak,3462,11358,no range specified,Absaroka Range  Wyoming  United States
Doane Peak,3461,11355,no range specified,Teton Range  Wyoming  US
Ranger Peak,3461,11355,no range specified,Teton range  Wyoming  US
Mount Takahe,3460,11352,no range specified,Antarctica
Cerro de la Muerte,3451,11322,no range specified,Second highest in Costa Rica
Furgghorn,3451,11322,no range specified,Pennine Alps  Switzerland
Mafadi,3450,11319,no range specified,Drakensberg  South Africa
Mount Andromeda,3450,11319,no range specified,Canadian Rockies
Boulder Mountain,3449,11316,no range specified,Utah  US. Highest timbered plateau in N America
Mount Joffre,3449,11316,no range specified,Canadian Rockies
Hilgard Peak,3449,11316,no range specified,Madison Range  Montana  US
Static Peak,3445,11302,no range specified,Teton Range  Wyoming  US
Thousand Lake Mountain,3444,11299,no range specified,Utah  US
Pointe de la Sana,3436,11273,no range specified,Vanoise massif  France
Eagles Rest Peak,3431,11257,no range specified,Teton Range  Wyoming  US
Irazú Volcano,3431,11257,no range specified,Costa Rica
Mount Hood,3429,11250,no range specified,Cascade Range  Oregon  US
Verpeilspitze,3425,11237,no range specified,Austria
Deltaform Mountain,3424,11234,no range specified,Canadian Rockies
Mount Lefroy,3423,11230,no range specified,Canadian Rockies
Pointe de l'Échelle,3422,11227,no range specified,Vanoise massif  France
Pointe du Bouchet,3420,11220,no range specified,Vanoise massif  France
Mount Fitzgerald,3418,11214,no range specified,Ruby Mountains  Nevada  US
Bellecôte,3417,11211,no range specified,Vanoise massif  France
Crazy Peak,3417,11211,no range specified,Montana  US
Emi Koussi,3415,11204,no range specified,Tibesti Mountains  Chad
Piz Linard,3410,11188,no range specified,Switzerland
Mount Woolley,3405,11171,no range specified,Canadian Rockies
Aneto,3404,11168,no range specified,Pyrenees  Spain
Lone Mountain,3404,11168,no range specified,Madison Range  Montana  US
Fluchthorn,3399,11152,no range specified,Silvretta  Austria-Switzerland
Grand Bec,3398,11148,no range specified,Vanoise massif  France
Rockchuck Peak,3397,11145,no range specified,Teton Range  Wyoming
Pico Veleta,3396,11142,no range specified,Sierra Nevada  Spain
Mount Hector,3394,11135,no range specified,Canadian Rockies
Piz Platta,3392,11129,no range specified,Swiss Alps
Telescope Peak,3392,11129,no range specified,Death Valley
Champagne Castle,3377,11079,no range specified,Drakensberg  South Africa
Pic Uzu,3376,11076,no range specified,Tibesti  Libya-Chad
Cerro Chaltén,3375,11073,no range specified,Patagonia  Argentina-Chile
Mount Spurr,3374,11070,no range specified,Alaska
Pointe du Vallonnet,3372,11063,no range specified,Vanoise massif  France
Mammoth Mountain,3371,11060,no range specified,California
Fründenhorn,3369,11053,no range specified,Bernese Alps  Switzerland
Pointe Renod,3368,11050,no range specified,Vanoise massif  France
Traverse Peak,3368,11050,no range specified,Teton Range  Wyoming
Mount Edith Cavell,3363,11033,no range specified,Canadian Rockies
Dôme des Sonnailles,3361,11027,no range specified,Vanoise massif  France
Valvelspitze,3360,11024,no range specified,Austria
Mount Etna,3357,11014,no range specified,Metropolitan City of Catania  Italy
Mount Agepsta,3357,11014,no range specified,Gagra Range  Abkhazia  Georgia
Mount Munday,3356,11010,no range specified,Pacific Ranges  B.C.  Canada
Pointe de Claret,3355,11007,no range specified,Vanoise massif  France
Monte Perdido,3355,11007,no range specified,Pyrenees
Electric Peak,3343,10968,no range specified,Gallatin Range  Montana
Marmolada,3343,10968,no range specified,Dolomites  Italy
Mount Saskatchewan,3342,10965,no range specified,Canadian Rockies
Cerro Fábrega,3335,10942,no range specified,Bocas Del Toro  Panama
Ward Mountain,3333,10935,no range specified,Nevada  US
Pointe de Méan Martin,3330,10925,no range specified,Vanoise massif  France
Dôme de Polset,3326,10912,no range specified,Vanoise massif  France
Cathedral Peak,3326,10912,no range specified,California  US
Raynolds Peak,3325,10909,no range specified,Teton Range  Wyoming
Rolling Thunder Mountain,3324,10906,no range specified,Teton Range  Wyoming
Mount Hampton,3323,10902,no range specified,Antarctica
Dôme des Pichères,3319,10889,no range specified,Vanoise massif  France
Grand Roc,3316,10879,no range specified,Vanoise massif  France
Giant's Castle,3315,10876,no range specified,Drakensberg  South Africa
Sunwapta Peak,3315,10876,no range specified,Canadian Rockies
Piz Buin,3312,10866,no range specified,Silvretta  Austria-Switzerland
Mount Ball,3311,10863,no range specified,Canadian Rockies
Piz Badile,3308,10853,no range specified,Bregaglia  Switzerland
Ağ Dağ,3306,10846,no range specified,Bozgush mountain range 
San Jacinto Peak,3302,10833,no range specified,California  US
Didi Abuli,3301,10830,no range specified,Georgia
Silberhorn,3300,10827,no range specified,Southern Alps  New Zealand
Bivouac Peak,3299,10823,no range specified,Teton Range  Wyoming
Mount Wilbur,3298,10820,no range specified,Fairweather Range  Alaska  US
Monte Argentera,3297,10817,no range specified,Maritime Alps  Italy
Mount Rose (Nevada),3287,10784,no range specified,Carson Range 
Mount Samsari,3285,10778,no range specified,Abul-Samsari Range  Georgia
Roche Chevrière,3281,10764,no range specified,Vanoise massif  France
Habicht,3277,10751,no range specified,Stubai Alps  Austria
Thompson Peak,3277,10751,no range specified,Idaho  US
Mount Chephren,3266,10715,no range specified,Canadian Rockies
Pointe de Thorens,3266,10715,no range specified,Vanoise massif  France
Mount Cramer,3266,10715,no range specified,Idaho  US
Toussidé,3265,10712,no range specified,Tibesti Mountains  Chad-Libya
